,성별,가구원_연령,나이대,위험군,설문합계,연도,고유번호,14.여가시간 주요 활동-1순위
0,2,33,어른,정상군,14,2021,1,6.0
1,1,40,어른,정상군,10,2021,2,6.0
2,1,59,어른,정상군,10,2021,3,4.0
3,1,49,어른,정상군,10,2021,4,4.0
4,1,55,어른,정상군,10,2021,5,6.0
5,2,48,어른,정상군,10,2021,6,6.0
6,1,37,어른,정상군,10,2021,7,4.0
7,1,40,어른,정상군,10,2021,8,1.0
8,1,65,노인,잠재적 위험군,26,2021,9,3.0
9,1,36,어른,정상군,10,2021,10,3.0
10,1,66,노인,잠재적 위험군,26,2021,11,5.0
11,1,36,어른,정상군,10,2021,12,4.0
12,1,51,어른,정상군,10,2021,13,3.0
13,1,32,어른,정상군,10,2021,14,4.0
14,1,50,어른,정상군,10,2021,15,6.0
15,1,47,어른,정상군,10,2021,16,6.0
16,1,39,어른,정상군,10,2021,17,2.0
17,1,59,어른,정상군,10,2021,18,6.0
18,1,55,어른,정상군,10,2021,19,4.0
19,1,42,어른,정상군,10,2021,20,4.0
20,1,42,어른,정상군,10,2021,21,2.0
21,1,33,어른,정상군,10,2021,22,3.0
22,2,48,어른,정상군,10,2021,23,2.0
23,1,49,어른,정상군,10,2021,24,6.0
24,1,58,어른,정상군,10,2021,25,6.0
25,1,48,어른,정상군,10,2021,26,3.0
26,2,40,어른,정상군,10,2021,27,1.0
27,1,63,노인,정상군,10,2021,28,6.0
28,1,62,노인,잠재적 위험군,24,2021,29,6.0
29,1,52,어른,정상군,10,2021,30,6.0
30,2,31,어른,정상군,10,2021,31,6.0
31,1,48,어른,정상군,10,2021,32,6.0
32,2,63,노인,정상군,10,2021,33,6.0
33,1,39,어른,정상군,10,2021,34,6.0
34,1,29,어른,정상군,10,2021,35,4.0
35,1,39,어른,고위험군,30,2021,36,6.0
36,1,38,어른,정상군,10,2021,37,7.0
37,1,36,어른,정상군,10,2021,38,7.0
38,1,61,노인,정상군,10,2021,39,3.0
39,1,62,노인,정상군,10,2021,40,4.0
40,2,69,노인,고위험군,37,2021,41,3.0
41,2,68,노인,잠재적 위험군,26,2021,42,3.0
42,1,54,어른,정상군,10,2021,43,6.0
43,1,40,어른,정상군,10,2021,44,7.0
44,1,40,어른,정상군,10,2021,45,7.0
45,1,31,어른,정상군,10,2021,46,4.0
46,1,62,노인,잠재적 위험군,24,2021,47,3.0
47,1,41,어른,정상군,10,2021,48,1.0
48,2,32,어른,정상군,16,2021,49,3.0
49,2,62,노인,정상군,10,2021,50,1.0
50,1,41,어른,정상군,10,2021,51,6.0
51,2,30,어른,정상군,10,2021,52,4.0
52,1,30,어른,정상군,10,2021,53,4.0
53,1,49,어른,정상군,10,2021,54,6.0
54,2,32,어른,정상군,10,2021,55,6.0
55,1,55,어른,정상군,10,2021,56,4.0
56,1,41,어른,정상군,10,2021,57,4.0
57,1,62,노인,잠재적 위험군,24,2021,58,4.0
58,1,49,어른,정상군,10,2021,59,4.0
