,성별,가구원_연령,나이대,위험군,설문합계,연도,고유번호
0,2,33,어른,정상군,14,2021,1
1,1,40,어른,정상군,10,2021,2
2,1,59,어른,정상군,10,2021,3
3,1,49,어른,정상군,10,2021,4
4,1,55,어른,정상군,10,2021,5
5,2,48,어른,정상군,10,2021,6
6,1,37,어른,정상군,10,2021,7
7,1,40,어른,정상군,10,2021,8
8,1,65,노인,잠재적 위험군,26,2021,9
9,1,36,어른,정상군,10,2021,10
10,1,66,노인,잠재적 위험군,26,2021,11
11,1,36,어른,정상군,10,2021,12
12,1,51,어른,정상군,10,2021,13
13,1,32,어른,정상군,10,2021,14
14,1,50,어른,정상군,10,2021,15
15,1,47,어른,정상군,10,2021,16
16,1,39,어른,정상군,10,2021,17
17,1,59,어른,정상군,10,2021,18
18,1,55,어른,정상군,10,2021,19
19,1,42,어른,정상군,10,2021,20
20,1,42,어른,정상군,10,2021,21
21,1,33,어른,정상군,10,2021,22
22,2,48,어른,정상군,10,2021,23
23,1,49,어른,정상군,10,2021,24
24,1,58,어른,정상군,10,2021,25
25,1,48,어른,정상군,10,2021,26
26,2,40,어른,정상군,10,2021,27
27,1,63,노인,정상군,10,2021,28
28,1,62,노인,잠재적 위험군,24,2021,29
29,1,52,어른,정상군,10,2021,30
30,2,31,어른,정상군,10,2021,31
31,1,48,어른,정상군,10,2021,32
32,2,63,노인,정상군,10,2021,33
33,1,39,어른,정상군,10,2021,34
34,1,29,어른,정상군,10,2021,35
35,1,39,어른,고위험군,30,2021,36
36,1,38,어른,정상군,10,2021,37
37,1,36,어른,정상군,10,2021,38
38,1,61,노인,정상군,10,2021,39
39,1,62,노인,정상군,10,2021,40
40,2,69,노인,고위험군,37,2021,41
41,2,68,노인,잠재적 위험군,26,2021,42
42,1,54,어른,정상군,10,2021,43
43,1,40,어른,정상군,10,2021,44
44,1,40,어른,정상군,10,2021,45
45,1,31,어른,정상군,10,2021,46
46,1,62,노인,잠재적 위험군,24,2021,47
47,1,41,어른,정상군,10,2021,48
48,2,32,어른,정상군,16,2021,49
49,2,62,노인,정상군,10,2021,50
50,1,41,어른,정상군,10,2021,51
51,2,30,어른,정상군,10,2021,52
52,1,30,어른,정상군,10,2021,53
53,1,49,어른,정상군,10,2021,54
54,2,32,어른,정상군,10,2021,55
55,1,55,어른,정상군,10,2021,56
56,1,41,어른,정상군,10,2021,57
57,1,62,노인,잠재적 위험군,24,2021,58
58,1,49,어른,정상군,10,2021,59
59,1,48,어른,잠재적 위험군,27,2021,60
60,1,52,어른,정상군,10,2021,61
61,1,51,어른,정상군,10,2021,62
62,1,31,어른,정상군,10,2021,63
63,1,47,어른,정상군,10,2021,64
64,1,48,어른,정상군,10,2021,65
65,2,60,노인,정상군,10,2021,66
66,1,23,청소년,정상군,10,2021,67
67,1,62,노인,정상군,10,2021,68
68,1,35,어른,정상군,10,2021,69
69,1,64,노인,잠재적 위험군,24,2021,70
70,2,64,노인,정상군,10,2021,71
71,1,64,노인,잠재적 위험군,24,2021,72
72,1,54,어른,정상군,10,2021,73
73,2,68,노인,정상군,10,2021,74
74,1,49,어른,정상군,10,2021,75
75,1,53,어른,정상군,10,2021,76
76,2,69,노인,정상군,10,2021,77
77,1,36,어른,정상군,10,2021,78
78,2,69,노인,정상군,10,2021,79
79,2,68,노인,정상군,10,2021,80
80,1,58,어른,정상군,10,2021,81
81,1,52,어른,정상군,10,2021,82
82,1,42,어른,잠재적 위험군,25,2021,83
83,1,34,어른,정상군,10,2021,84
84,2,52,어른,정상군,10,2021,85
85,1,33,어른,잠재적 위험군,26,2021,86
86,1,53,어른,정상군,10,2021,87
87,1,59,어른,정상군,10,2021,88
88,1,66,노인,잠재적 위험군,24,2021,89
89,2,42,어른,잠재적 위험군,26,2021,90
90,1,40,어른,잠재적 위험군,26,2021,91
91,2,69,노인,정상군,10,2021,92
92,1,36,어른,잠재적 위험군,26,2021,93
93,2,40,어른,잠재적 위험군,26,2021,94
94,1,63,노인,잠재적 위험군,24,2021,95
95,2,42,어른,정상군,10,2021,96
96,1,47,어른,정상군,10,2021,97
97,1,33,어른,정상군,20,2021,98
98,1,64,노인,잠재적 위험군,24,2021,99
99,1,58,어른,정상군,10,2021,100
100,1,52,어른,잠재적 위험군,26,2021,101
101,1,52,어른,잠재적 위험군,26,2021,102
102,1,38,어른,정상군,15,2021,103
